code,name,tdate,open,close,high,low,cjl
9988,阿里巴巴-SW,2020-7-2,211.8,214.4,215,210.2,3.10E+07
9988,阿里巴巴-SW,2020-7-3,220,220.8,221.4,217.2,3.12E+07
9988,阿里巴巴-SW,2020-7-6,224,225.4,226.8,223,4.25E+07
9988,阿里巴巴-SW,2020-7-7,233.2,232.4,239,232,4.66E+07
9988,阿里巴巴-SW,2020-7-8,231,237.8,238.6,231,3.19E+07
9988,阿里巴巴-SW,2020-7-9,254.8,261.6,263.8,252,6.17E+07
9988,阿里巴巴-SW,2020-7-10,257,255.4,262,253,4.45E+07
9988,阿里巴巴-SW,2020-7-13,254,254.4,258.4,251.2,3.10E+07
9988,阿里巴巴-SW,2020-7-14,244.4,240.4,246.4,238.4,5.36E+07
9988,阿里巴巴-SW,2020-7-15,244,243.4,245.2,239,2.31E+07
9988,阿里巴巴-SW,2020-7-16,242.8,233.2,242.8,231.6,3.43E+07
9988,阿里巴巴-SW,2020-7-17,235.4,238.8,240.6,233.4,2.02E+07
9988,阿里巴巴-SW,2020-7-20,238,239.6,241.8,235.2,1.14E+07
9988,阿里巴巴-SW,2020-7-21,251.8,257,257.6,250.8,4.52E+07
9988,阿里巴巴-SW,2020-7-22,251.4,248,254.8,247.6,3.65E+07
9988,阿里巴巴-SW,2020-7-23,245,246.6,248,242,3.12E+07
9988,阿里巴巴-SW,2020-7-24,244.2,239,244.4,237.2,2.75E+07
9988,阿里巴巴-SW,2020-7-27,240.8,239,244.2,235.6,1.82E+07
9988,阿里巴巴-SW,2020-7-28,244,244.6,245.6,242.8,1.47E+07
9988,阿里巴巴-SW,2020-7-29,242.2,243,244,241.2,1.05E+07
9988,阿里巴巴-SW,2020-7-30,246,244.8,249.6,243.4,2.17E+07
9988,阿里巴巴-SW,2020-7-31,249,246,249,245,1.47E+07
9988,阿里巴巴-SW,2020-8-3,244.8,245.6,246.6,243.4,1.83E+07
9988,阿里巴巴-SW,2020-8-4,250.8,253.8,255,250.4,2.49E+07
9988,阿里巴巴-SW,2020-8-5,255.8,255.8,256,252,1.81E+07
9988,阿里巴巴-SW,2020-8-6,257,257,257.8,253.2,1.60E+07
9988,阿里巴巴-SW,2020-8-7,256,249.2,256.2,240.6,3.62E+07
9988,阿里巴巴-SW,2020-8-10,244.8,242.4,244.8,240.4,2.60E+07
9988,阿里巴巴-SW,2020-8-11,242,244,246.8,241.6,1.67E+07
9988,阿里巴巴-SW,2020-8-12,242.2,243.4,244.6,238,1.58E+07
9988,阿里巴巴-SW,2020-8-13,247.8,248.2,251,246.2,1.25E+07
9988,阿里巴巴-SW,2020-8-14,246.2,246.8,248.8,244.4,1.26E+07
9988,阿里巴巴-SW,2020-8-17,242.6,242.8,246.6,241.2,2.09E+07
9988,阿里巴巴-SW,2020-8-18,249.4,252,252.6,247.6,2.32E+07
9988,阿里巴巴-SW,2020-8-19,252,255.4,256,251,1.52E+07
9988,阿里巴巴-SW,2020-8-20,254,255,255.8,250.4,2.29E+07
9988,阿里巴巴-SW,2020-8-21,251.8,252.8,258.6,250.6,3.21E+07
9988,阿里巴巴-SW,2020-8-24,261,264.4,266,259.2,4.35E+07
9988,阿里巴巴-SW,2020-8-25,270,269.2,274.4,266.6,3.07E+07
9988,阿里巴巴-SW,2020-8-26,279.8,280.4,280.4,276.8,3.19E+07
9988,阿里巴巴-SW,2020-8-27,282.6,280.6,284,278,2.81E+07
9988,阿里巴巴-SW,2020-8-28,277,277,279.6,275.2,2.95E+07
9988,阿里巴巴-SW,2020-8-31,282.8,282.8,287.6,281,2.69E+07
9988,阿里巴巴-SW,2020-9-1,279,282.8,285.4,278.2,2.42E+07
9988,阿里巴巴-SW,2020-9-2,290,291.2,292,287.4,2.47E+07
9988,阿里巴巴-SW,2020-9-3,287.8,284.2,289.2,283.4,2.90E+07
9988,阿里巴巴-SW,2020-9-4,268,274,275.4,265.2,7.89E+07
9988,阿里巴巴-SW,2020-9-7,271.2,265.6,274.6,265.4,4.75E+07
9988,阿里巴巴-SW,2020-9-8,270,269.6,271.8,262.2,2.76E+07
9988,阿里巴巴-SW,2020-9-9,262,263.2,264.6,258.6,2.71E+07
9988,阿里巴巴-SW,2020-9-10,266.8,262.6,268,262,2.55E+07
9988,阿里巴巴-SW,2020-9-11,263.4,266,267,260.8,2.08E+07
9988,阿里巴巴-SW,2020-9-14,266.8,268.2,268.6,264,1.61E+07
9988,阿里巴巴-SW,2020-9-15,268,267.4,269.6,266.2,1.97E+07
9988,阿里巴巴-SW,2020-9-16,269.8,273,273,269.2,2.09E+07
9988,阿里巴巴-SW,2020-9-17,270.8,267.8,271.6,265.6,1.94E+07
9988,阿里巴巴-SW,2020-9-18,266.6,269.6,269.6,264.4,2.09E+07
9988,阿里巴巴-SW,2020-9-21,267,262,268.2,262,2.09E+07
9988,阿里巴巴-SW,2020-9-22,267,264.8,267,262.4,1.64E+07
9988,阿里巴巴-SW,2020-9-23,266.8,267,269.2,264.8,2.03E+07
9988,阿里巴巴-SW,2020-9-24,264,261,265.4,261,1.65E+07
9988,阿里巴巴-SW,2020-9-25,264.4,258,264.4,255.4,1.53E+07
9988,阿里巴巴-SW,2020-9-28,262,263.4,264.6,261.2,1.18E+07
9988,阿里巴巴-SW,2020-9-29,268.2,265.4,270,265.4,1.66E+07
9988,阿里巴巴-SW,2020-9-30,269.4,275.6,276,268.8,3.53E+07
9988,阿里巴巴-SW,2020-10-5,285,282,285,278.6,2.52E+07
9988,阿里巴巴-SW,2020-10-6,279.8,280,281.2,277.4,1.80E+07
9988,阿里巴巴-SW,2020-10-7,283.8,288.2,289,282.6,2.16E+07
9988,阿里巴巴-SW,2020-10-8,289.8,289.6,289.8,285.2,1.72E+07
9988,阿里巴巴-SW,2020-10-9,291,286.2,293,283.8,2.22E+07
9988,阿里巴巴-SW,2020-10-12,288,292,293,287.6,1.52E+07
9988,阿里巴巴-SW,2020-10-14,298,297.6,298,294.6,2.76E+07
9988,阿里巴巴-SW,2020-10-15,290.4,284.8,291,284.2,2.69E+07
9988,阿里巴巴-SW,2020-10-16,290,294,294,288.8,1.86E+07
9988,阿里巴巴-SW,2020-10-19,298.2,297.2,299.4,295.4,1.97E+07
9988,阿里巴巴-SW,2020-10-20,297.8,299.4,300.4,296.2,1.94E+07
9988,阿里巴巴-SW,2020-10-21,300,300.2,303.8,299.2,1.74E+07
9988,阿里巴巴-SW,2020-10-22,298.6,300,301.6,297,1.44E+07
9988,阿里巴巴-SW,2020-10-23,297.8,298,300.4,297,1.51E+07
9988,阿里巴巴-SW,2020-10-27,296.6,300,300.6,294.2,1.83E+07
9988,阿里巴巴-SW,2020-10-28,304.4,307.4,309.4,304.2,2.78E+07
9988,阿里巴巴-SW,2020-10-29,300,302.6,305.6,299,2.41E+07
9988,阿里巴巴-SW,2020-10-30,301,293.2,303,292.6,2.69E+07
9988,阿里巴巴-SW,2020-11-2,298.4,297.8,298.4,291.4,1.84E+07
9988,阿里巴巴-SW,2020-11-3,300.4,299.8,301.6,299,1.73E+07
9988,阿里巴巴-SW,2020-11-4,272,277.2,282,272,1.01E+08
9988,阿里巴巴-SW,2020-11-5,285.6,294.6,294.6,285.6,4.26E+07
9988,阿里巴巴-SW,2020-11-6,282.8,282,289.8,282,5.24E+07
9988,阿里巴巴-SW,2020-11-9,291.4,290.2,293,289.4,3.58E+07
9988,阿里巴巴-SW,2020-11-10,283.4,275.4,283.8,273,6.39E+07
9988,阿里巴巴-SW,2020-11-11,255,248.4,258.8,248.4,1.17E+08
9988,阿里巴巴-SW,2020-11-12,257.8,253,258.6,252.2,5.48E+07
9988,阿里巴巴-SW,2020-11-13,258.6,257,260,252.4,4.20E+07
9988,阿里巴巴-SW,2020-11-16,253.4,254,254.6,245,4.05E+07
9988,阿里巴巴-SW,2020-11-17,255,249.8,255.6,249.8,2.77E+07
9988,阿里巴巴-SW,2020-11-18,251,250,252,247.6,2.12E+07
9988,阿里巴巴-SW,2020-11-19,250,245.2,250,245,1.96E+07
9988,阿里巴巴-SW,2020-11-20,251,253,255,249.2,2.50E+07
9988,阿里巴巴-SW,2020-11-23,263.2,264,266.2,260.6,4.49E+07
9988,阿里巴巴-SW,2020-11-24,273,270,274.6,267.8,4.14E+07
9988,阿里巴巴-SW,2020-11-25,274.8,267,275,264.6,2.80E+07
9988,阿里巴巴-SW,2020-11-26,270,269,271.8,267.2,1.85E+07
9988,阿里巴巴-SW,2020-11-27,271,269.6,271,267.2,1.16E+07
9988,阿里巴巴-SW,2020-11-30,264,261.4,264.8,258.6,1.95E+07
9988,阿里巴巴-SW,2020-12-1,256.8,257.2,259.6,254.6,1.96E+07
9988,阿里巴巴-SW,2020-12-2,257,255.2,257.2,254,1.75E+07
