code,name,tdate,open,close,high,low,cjl
941,中国移动,2020-7-2,42.35,44.95,45.05,42.35,3.12E+07
941,中国移动,2020-7-3,45.1,45.1,45.2,44.3,2.43E+07
941,中国移动,2020-7-6,45.4,48.4,48.4,45.2,4.43E+07
941,中国移动,2020-7-7,48.45,46.85,48.75,46.55,3.35E+07
941,中国移动,2020-7-8,47.45,46.55,47.7,46.35,2.44E+07
941,中国移动,2020-7-9,47.3,46.85,47.65,46.5,1.97E+07
941,中国移动,2020-7-10,46.05,45.35,46.85,44.95,1.80E+07
941,中国移动,2020-7-13,45.15,45.55,45.85,45.15,1.77E+07
941,中国移动,2020-7-14,45.45,44.85,45.6,44.35,1.78E+07
941,中国移动,2020-7-15,45.45,44.5,45.55,44.35,1.51E+07
941,中国移动,2020-7-16,44.5,44.4,45.15,44.35,1.80E+07
941,中国移动,2020-7-17,45.45,44.6,45.45,44.5,1.27E+07
941,中国移动,2020-7-20,44.45,44.2,44.7,43.8,1.40E+07
941,中国移动,2020-7-21,44.2,44.85,45,44,1.37E+07
941,中国移动,2020-7-22,44.85,43.8,45.15,43.8,1.59E+07
941,中国移动,2020-7-23,43.8,43.4,43.95,42.8,2.22E+07
941,中国移动,2020-7-24,43.8,43.95,44.7,43.45,2.11E+07
941,中国移动,2020-7-27,44.4,43.45,44.5,43.45,1.82E+07
941,中国移动,2020-7-28,44.15,43.45,44.2,43,1.42E+07
941,中国移动,2020-7-29,43.05,43.9,44.05,43.05,2.01E+07
941,中国移动,2020-7-30,44.35,43.55,44.65,43.45,2.68E+07
941,中国移动,2020-7-31,43.65,43.55,44.4,43.5,1.84E+07
941,中国移动,2020-8-3,43.35,44.35,44.4,43.35,1.77E+07
941,中国移动,2020-8-4,44.5,44.65,45.45,44.05,2.06E+07
941,中国移动,2020-8-5,44.5,45.95,46.25,44.45,1.76E+07
941,中国移动,2020-8-6,45.7,44.5,45.8,44.45,2.27E+07
941,中国移动,2020-8-7,44.35,44.3,44.75,43.8,1.86E+07
941,中国移动,2020-8-10,44.85,45.25,45.9,44.4,1.68E+07
941,中国移动,2020-8-11,46.4,47.2,47.25,45.9,2.56E+07
941,中国移动,2020-8-12,46.95,47.4,47.65,45.95,2.16E+07
941,中国移动,2020-8-13,47.9,49.45,50.75,47.6,6.21E+07
941,中国移动,2020-8-14,49.35,49.1,50,48.65,1.98E+07
941,中国移动,2020-8-17,48.95,49.05,49.85,48.85,1.80E+07
941,中国移动,2020-8-18,49.2,50.3,50.85,49.1,2.18E+07
941,中国移动,2020-8-19,50.2,49.3,50.2,48.8,1.40E+07
941,中国移动,2020-8-20,49,48.05,49,47.7,2.35E+07
941,中国移动,2020-8-21,48.5,48.85,48.9,48.15,1.48E+07
941,中国移动,2020-8-24,48.55,49.5,49.8,48.55,1.37E+07
941,中国移动,2020-8-25,49.45,48.8,49.5,48.55,1.58E+07
941,中国移动,2020-8-26,49.4,49.4,49.95,49.05,1.64E+07
941,中国移动,2020-8-27,49.88,47.93,49.88,47.53,2.31E+07
941,中国移动,2020-8-28,47.58,47.78,48.68,47.13,2.13E+07
941,中国移动,2020-8-31,48.98,46.13,49.18,46.13,3.28E+07
941,中国移动,2020-9-1,45.98,45.78,46.93,45.78,2.28E+07
941,中国移动,2020-9-2,45.53,45.03,45.73,44.78,2.79E+07
941,中国移动,2020-9-3,44.83,44.98,45.73,44.58,2.21E+07
941,中国移动,2020-9-4,44.83,45.13,45.93,44.53,4.51E+07
941,中国移动,2020-9-7,44.58,44.58,45.03,44.28,2.34E+07
941,中国移动,2020-9-8,45.73,45.53,45.83,44.93,1.63E+07
941,中国移动,2020-9-9,45.18,45.83,45.83,45.03,1.95E+07
941,中国移动,2020-9-10,45.98,45.13,45.98,44.78,1.45E+07
941,中国移动,2020-9-11,45.38,45.13,45.68,44.88,1.18E+07
941,中国移动,2020-9-14,45.18,45.78,45.93,45.03,1.45E+07
941,中国移动,2020-9-15,45.38,45.53,45.78,45.08,1.31E+07
941,中国移动,2020-9-16,45.73,45.08,45.73,44.98,1.10E+07
941,中国移动,2020-9-17,45.38,44.38,45.38,44.08,1.69E+07
941,中国移动,2020-9-18,44.73,44.43,44.88,44.23,2.71E+07
941,中国移动,2020-9-21,44.88,43.88,44.93,43.73,2.84E+07
941,中国移动,2020-9-22,43.88,43.48,44.03,43.28,1.47E+07
941,中国移动,2020-9-23,42.98,42.88,43.33,42.58,1.44E+07
941,中国移动,2020-9-24,42.43,41.93,42.63,41.83,1.99E+07
941,中国移动,2020-9-25,42.18,42.33,42.98,42.18,1.26E+07
941,中国移动,2020-9-28,42.13,42.03,42.58,41.63,1.43E+07
941,中国移动,2020-9-29,41.88,40.93,42.13,40.93,2.20E+07
941,中国移动,2020-9-30,41.58,41.43,42.23,40.78,2.52E+07
941,中国移动,2020-10-5,42.18,41.48,42.18,41.08,1.58E+07
941,中国移动,2020-10-6,41.58,41.63,41.88,41.23,1.47E+07
941,中国移动,2020-10-7,41.78,42.38,42.58,41.48,1.24E+07
941,中国移动,2020-10-8,41.98,42.33,42.48,41.83,1.23E+07
941,中国移动,2020-10-9,42.18,41.93,42.53,41.83,7351540
941,中国移动,2020-10-12,41.58,42.78,42.98,41.58,1.28E+07
941,中国移动,2020-10-14,44.08,43.28,44.08,42.78,2.15E+07
941,中国移动,2020-10-15,42.83,42.23,43.18,42.23,1.33E+07
941,中国移动,2020-10-16,42.28,41.98,42.58,41.98,1.48E+07
941,中国移动,2020-10-19,41.88,41.93,42.43,41.78,1.15E+07
941,中国移动,2020-10-20,41.68,41.93,42.18,41.68,1.14E+07
941,中国移动,2020-10-21,42.28,43.88,44.43,42.03,3.97E+07
941,中国移动,2020-10-22,43.28,42.48,43.43,42.18,2.52E+07
941,中国移动,2020-10-23,42.48,42.88,42.93,41.98,1.38E+07
941,中国移动,2020-10-27,41.98,42.28,42.53,41.93,1.96E+07
941,中国移动,2020-10-28,41.98,41.03,42.18,41.03,1.80E+07
941,中国移动,2020-10-29,40.73,40.08,40.78,39.48,2.79E+07
