code,name,tdate,open,close,high,low,cjl
728,中国电信,2020-7-2,1.728,1.818,1.818,1.668,9.96E+07
728,中国电信,2020-7-3,1.818,1.808,1.838,1.778,5.56E+07
728,中国电信,2020-7-6,1.848,1.958,1.988,1.828,1.40E+08
728,中国电信,2020-7-7,1.968,1.898,1.998,1.868,1.28E+08
728,中国电信,2020-7-8,1.898,1.918,1.938,1.878,7.73E+07
728,中国电信,2020-7-9,1.928,1.898,1.958,1.878,1.09E+08
728,中国电信,2020-7-10,1.878,1.858,1.908,1.838,6.49E+07
728,中国电信,2020-7-13,1.868,1.848,1.888,1.848,7.68E+07
728,中国电信,2020-7-14,1.858,1.828,1.868,1.798,7.06E+07
728,中国电信,2020-7-15,1.838,1.818,1.868,1.778,6.31E+07
728,中国电信,2020-7-16,1.838,1.798,1.838,1.788,5.01E+07
728,中国电信,2020-7-17,1.818,1.818,1.848,1.798,5.32E+07
728,中国电信,2020-7-20,1.818,1.788,1.818,1.788,6.39E+07
728,中国电信,2020-7-21,1.798,1.798,1.818,1.788,6.99E+07
728,中国电信,2020-7-22,1.798,1.788,1.828,1.778,1.09E+08
728,中国电信,2020-7-23,1.798,1.788,1.808,1.758,5.82E+07
728,中国电信,2020-7-24,1.788,1.828,1.828,1.768,7.43E+07
728,中国电信,2020-7-27,1.828,1.848,1.878,1.828,6.67E+07
728,中国电信,2020-7-28,1.848,1.828,1.878,1.808,4.54E+07
728,中国电信,2020-7-29,1.848,1.838,1.858,1.808,3.75E+07
728,中国电信,2020-7-30,1.818,1.828,1.858,1.808,4.02E+07
728,中国电信,2020-7-31,1.838,1.848,1.858,1.818,3.90E+07
728,中国电信,2020-8-3,1.828,1.848,1.868,1.828,5.55E+07
728,中国电信,2020-8-4,1.838,1.848,1.878,1.828,6.27E+07
728,中国电信,2020-8-5,1.838,1.918,1.918,1.838,5.32E+07
728,中国电信,2020-8-6,1.898,1.848,1.908,1.848,5.43E+07
728,中国电信,2020-8-7,1.838,1.818,1.868,1.808,3.19E+07
728,中国电信,2020-8-10,1.848,1.828,1.848,1.808,4.63E+07
728,中国电信,2020-8-11,1.858,1.888,1.918,1.848,5.06E+07
728,中国电信,2020-8-12,1.888,1.878,1.888,1.858,3.29E+07
728,中国电信,2020-8-13,1.938,2.138,2.158,1.938,3.16E+08
728,中国电信,2020-8-14,2.128,2.318,2.358,2.098,3.56E+08
728,中国电信,2020-8-17,2.318,2.248,2.328,2.198,1.27E+08
728,中国电信,2020-8-18,2.218,2.348,2.408,2.198,2.57E+08
728,中国电信,2020-8-19,2.388,2.278,2.388,2.218,8.24E+07
728,中国电信,2020-8-20,2.258,2.248,2.288,2.198,9.84E+07
728,中国电信,2020-8-21,2.278,2.258,2.298,2.228,6.13E+07
728,中国电信,2020-8-24,2.278,2.218,2.298,2.218,5.46E+07
728,中国电信,2020-8-25,2.208,2.228,2.238,2.148,7.25E+07
728,中国电信,2020-8-26,2.258,2.218,2.278,2.208,5.19E+07
728,中国电信,2020-8-27,2.208,2.138,2.218,2.088,6.75E+07
728,中国电信,2020-8-28,2.118,2.178,2.198,2.118,5.76E+07
728,中国电信,2020-8-31,2.178,2.078,2.218,2.078,7.12E+07
728,中国电信,2020-9-1,2.098,2.048,2.108,1.988,8.35E+07
728,中国电信,2020-9-2,2.058,2.008,2.058,1.988,6.62E+07
728,中国电信,2020-9-3,1.998,2.078,2.078,1.988,5.84E+07
728,中国电信,2020-9-4,2.068,2.058,2.088,2.018,9.69E+07
728,中国电信,2020-9-7,2.028,2.048,2.068,2.028,2.35E+07
728,中国电信,2020-9-8,2.038,2.088,2.108,2.038,3.91E+07
728,中国电信,2020-9-9,2.088,2.098,2.128,2.048,5.17E+07
728,中国电信,2020-9-10,2.108,2.068,2.128,2.058,4.44E+07
728,中国电信,2020-9-11,2.058,2.048,2.068,1.988,7.11E+07
728,中国电信,2020-9-14,2.028,2.098,2.118,2.028,3.49E+07
728,中国电信,2020-9-15,2.098,2.078,2.108,2.058,3.88E+07
728,中国电信,2020-9-16,2.058,2.058,2.098,2.018,3.76E+07
728,中国电信,2020-9-17,2.048,2.038,2.058,2.008,3.95E+07
728,中国电信,2020-9-18,2.028,2.048,2.088,2.028,6.42E+07
