code,name,tdate,open,close,high,low,cjl
9618,京东集团-SW,2020-7-2,227.457,230.857,230.857,226.457,4620080
9618,京东集团-SW,2020-7-3,231.257,230.657,231.857,229.457,4343780
9618,京东集团-SW,2020-7-6,232.057,239.857,240.057,231.057,5452220
9618,京东集团-SW,2020-7-7,243.457,237.057,243.657,235.257,4434130
9618,京东集团-SW,2020-7-8,232.057,242.657,242.657,231.657,4511660
9618,京东集团-SW,2020-7-9,247.657,261.057,266.657,247.057,1.10E+07
9618,京东集团-SW,2020-7-10,259.057,255.457,261.057,252.057,5766820
9618,京东集团-SW,2020-7-13,251.857,250.657,254.057,247.257,5257760
9618,京东集团-SW,2020-7-14,238.257,236.857,239.457,233.657,9143480
9618,京东集团-SW,2020-7-15,237.257,236.257,238.457,234.057,3617890
9618,京东集团-SW,2020-7-16,238.857,230.057,239.057,228.057,5553070
9618,京东集团-SW,2020-7-17,234.057,235.657,239.257,233.857,3488900
9618,京东集团-SW,2020-7-20,237.257,236.857,238.657,233.057,2322900
9618,京东集团-SW,2020-7-21,246.257,249.257,249.257,243.257,4671750
9618,京东集团-SW,2020-7-22,239.457,237.257,243.257,237.057,8166400
9618,京东集团-SW,2020-7-23,236.457,236.657,238.857,233.657,4145520
9618,京东集团-SW,2020-7-24,230.057,229.857,233.657,226.857,7106380
9618,京东集团-SW,2020-7-27,231.057,231.857,234.057,229.257,2997810
9618,京东集团-SW,2020-7-28,237.057,238.457,240.057,236.257,3109200
9618,京东集团-SW,2020-7-29,234.257,234.857,235.057,233.257,2066350
9618,京东集团-SW,2020-7-30,236.657,235.857,237.857,234.857,1537150
9618,京东集团-SW,2020-7-31,238.257,235.857,239.057,233.857,1722540
9618,京东集团-SW,2020-8-3,240.057,242.257,242.457,240.057,3302850
9618,京东集团-SW,2020-8-4,245.057,247.057,247.057,243.057,3337200
9618,京东集团-SW,2020-8-5,246.657,248.057,248.057,244.257,1656440
9618,京东集团-SW,2020-8-6,248.657,249.057,249.857,245.457,1840280
9618,京东集团-SW,2020-8-7,245.857,241.457,245.857,236.257,4084990
9618,京东集团-SW,2020-8-10,236.857,235.457,238.457,234.057,2688480
9618,京东集团-SW,2020-8-11,235.457,237.457,239.057,235.457,2721860
9618,京东集团-SW,2020-8-12,234.057,236.057,236.657,231.857,3717900
9618,京东集团-SW,2020-8-13,239.457,239.457,240.657,238.057,1825040
9618,京东集团-SW,2020-8-14,239.457,238.057,239.457,237.457,1421560
9618,京东集团-SW,2020-8-17,236.657,237.657,241.657,233.057,4163590
9618,京东集团-SW,2020-8-18,251.057,260.657,261.057,250.857,1.71E+07
9618,京东集团-SW,2020-8-19,263.457,273.057,274.657,263.457,7451160
9618,京东集团-SW,2020-8-20,274.457,274.857,275.057,269.057,4811900
9618,京东集团-SW,2020-8-21,281.657,282.657,286.057,280.657,6479100
9618,京东集团-SW,2020-8-24,285.057,294.057,295.657,284.857,6424380
9618,京东集团-SW,2020-8-25,294.057,293.057,301.057,289.457,7810400
9618,京东集团-SW,2020-8-26,305.857,310.857,316.657,301.857,9122160
9618,京东集团-SW,2020-8-27,310.057,311.657,317.657,302.457,7458830
9618,京东集团-SW,2020-8-28,304.057,303.457,307.057,302.057,6864650
9618,京东集团-SW,2020-8-31,305.057,305.657,312.457,305.057,3569550
9618,京东集团-SW,2020-9-1,301.457,304.257,307.057,300.057,4629260
9618,京东集团-SW,2020-9-2,321.057,327.057,332.257,317.257,8081230
9618,京东集团-SW,2020-9-3,318.057,318.257,323.257,315.257,6026760
9618,京东集团-SW,2020-9-4,300.057,302.857,304.657,295.057,1.08E+07
9618,京东集团-SW,2020-9-7,301.857,300.857,309.057,297.457,4106820
