code,name,tdate,open,close,high,low,cjl
3690,美团-W,2020-7-2,176.5,179.4,181,171.6,2.98E+07
3690,美团-W,2020-7-3,181,191.7,193.1,179.4,3.04E+07
3690,美团-W,2020-7-6,192,191,193,189,2.40E+07
3690,美团-W,2020-7-7,189.4,185,190.4,180.7,3.65E+07
3690,美团-W,2020-7-8,183,199.8,199.8,183,3.33E+07
3690,美团-W,2020-7-9,204,209.8,212,203,3.15E+07
3690,美团-W,2020-7-10,205.8,208.2,213.4,203.2,2.23E+07
3690,美团-W,2020-7-13,205,206,212,203,2.65E+07
3690,美团-W,2020-7-14,200,197.1,201,186.1,2.80E+07
3690,美团-W,2020-7-15,205,200.6,205,197.1,2.37E+07
3690,美团-W,2020-7-16,200.4,185.1,201.8,183.3,3.80E+07
3690,美团-W,2020-7-17,188.8,191.1,191.6,184.2,2.92E+07
3690,美团-W,2020-7-20,192.3,188.4,192.6,184,2.27E+07
3690,美团-W,2020-7-21,194,205,205.8,192.9,3.11E+07
3690,美团-W,2020-7-22,195.6,192.2,201.8,190.2,3.63E+07
3690,美团-W,2020-7-23,192,199,201.2,191.8,2.45E+07
3690,美团-W,2020-7-24,192.9,190.7,197.8,188.8,2.68E+07
3690,美团-W,2020-7-27,192.7,185,195,182.1,2.13E+07
3690,美团-W,2020-7-28,190.1,191,192.1,188.2,1.75E+07
3690,美团-W,2020-7-29,187,193,193.6,187,1.37E+07
3690,美团-W,2020-7-30,192.2,195,199.9,192.2,1.89E+07
3690,美团-W,2020-7-31,198.3,191.9,201,191.9,1.61E+07
3690,美团-W,2020-8-3,200,200.6,202.8,195.4,3.13E+07
3690,美团-W,2020-8-4,205,218,221.6,203.4,4.45E+07
3690,美团-W,2020-8-5,215,218.4,220.2,215,2.75E+07
3690,美团-W,2020-8-6,219,221.2,229.2,218.8,2.55E+07
3690,美团-W,2020-8-7,218.6,222.4,225.8,208,3.07E+07
3690,美团-W,2020-8-10,220.8,223,228.8,219,2.21E+07
3690,美团-W,2020-8-11,225,218.4,227,216.8,2.40E+07
3690,美团-W,2020-8-12,218,213.8,218,202.6,3.02E+07
3690,美团-W,2020-8-13,220.2,211.4,220.2,211,1.40E+07
3690,美团-W,2020-8-14,212.2,219.8,226,209.2,2.05E+07
3690,美团-W,2020-8-17,209.2,218.2,223.4,209,1.83E+07
