code,name,tdate,open,close,high,low,cjl
1810,小米集团-W,2020-7-2,12.94,13.6,13.64,12.88,2.25E+08
1810,小米集团-W,2020-7-3,13.64,14.26,14.42,13.24,3.59E+08
1810,小米集团-W,2020-7-6,14.44,14.98,15,14.3,3.71E+08
1810,小米集团-W,2020-7-7,15.2,14.78,15.54,14.7,3.66E+08
1810,小米集团-W,2020-7-8,14.88,16.1,16.1,14.88,3.36E+08
1810,小米集团-W,2020-7-9,16.4,16.84,16.98,16.3,4.09E+08
1810,小米集团-W,2020-7-10,16.84,16.88,17.5,16.42,3.03E+08
1810,小米集团-W,2020-7-13,17.1,17.04,17.34,16.66,1.92E+08
1810,小米集团-W,2020-7-14,16.7,16.42,16.72,15.8,2.94E+08
1810,小米集团-W,2020-7-15,16.7,16.36,16.98,15.92,2.11E+08
1810,小米集团-W,2020-7-16,16.32,15.08,16.36,15.04,2.91E+08
1810,小米集团-W,2020-7-17,15.32,15.5,15.84,15.28,1.55E+08
1810,小米集团-W,2020-7-20,15.7,15.82,16,15.12,1.62E+08
1810,小米集团-W,2020-7-21,16.4,16.6,16.84,16.4,2.00E+08
1810,小米集团-W,2020-7-22,16.42,15.64,16.76,15.64,1.56E+08
1810,小米集团-W,2020-7-23,15.78,15.94,16.14,15.46,1.82E+08
1810,小米集团-W,2020-7-24,15.46,15.1,15.76,15,2.04E+08
1810,小米集团-W,2020-7-27,15.3,14.64,15.46,14.42,1.74E+08
1810,小米集团-W,2020-7-28,14.9,14.86,15.12,14.66,1.16E+08
1810,小米集团-W,2020-7-29,14.72,14.9,15.1,14.7,9.27E+07
1810,小米集团-W,2020-7-30,15,14.76,15.28,14.76,1.35E+08
1810,小米集团-W,2020-7-31,15,14.82,15.2,14.66,9.38E+07
1810,小米集团-W,2020-8-3,14.94,15.02,15.26,14.58,1.30E+08
1810,小米集团-W,2020-8-4,15.3,15.5,15.56,14.94,1.86E+08
1810,小米集团-W,2020-8-5,15.6,15.58,15.66,15.22,9.45E+07
1810,小米集团-W,2020-8-6,15.64,15.92,15.92,15.46,1.41E+08
1810,小米集团-W,2020-8-7,15.9,15.44,15.92,15,1.41E+08
1810,小米集团-W,2020-8-10,15.2,15.14,15.3,15,8.23E+07
1810,小米集团-W,2020-8-11,15.28,15.02,15.38,14.86,8.06E+07
1810,小米集团-W,2020-8-12,15.02,15.06,15.18,14.54,1.33E+08
1810,小米集团-W,2020-8-13,15.26,15.2,15.48,15.14,9.94E+07
1810,小米集团-W,2020-8-14,15.24,15.34,15.62,15.1,9.73E+07
1810,小米集团-W,2020-8-17,16.12,16.2,16.66,15.82,3.04E+08
1810,小米集团-W,2020-8-18,16.68,17.24,17.24,16.42,3.26E+08
1810,小米集团-W,2020-8-19,17.2,17.82,18.34,16.8,3.45E+08
1810,小米集团-W,2020-8-20,18.1,18.18,18.46,17.64,2.74E+08
1810,小米集团-W,2020-8-21,18.4,18.16,18.62,17.84,2.05E+08
1810,小米集团-W,2020-8-24,18.34,18.44,18.76,18.2,1.93E+08
1810,小米集团-W,2020-8-25,18.5,18.12,18.62,17.86,1.72E+08
1810,小米集团-W,2020-8-26,18.32,19.16,19.18,18.2,3.81E+08
1810,小米集团-W,2020-8-27,19.96,21.35,21.75,19.88,5.58E+08
1810,小米集团-W,2020-8-28,21.5,22.5,23.85,21.15,6.09E+08
1810,小米集团-W,2020-8-31,23.35,23.5,24.3,22.7,3.87E+08
1810,小米集团-W,2020-9-1,23.8,25.6,25.6,23.55,3.85E+08
1810,小米集团-W,2020-9-2,26.6,25.7,26.95,24.7,4.43E+08
1810,小米集团-W,2020-9-3,25.45,23.9,25.75,23.55,3.99E+08
1810,小米集团-W,2020-9-4,22.15,24.5,24.95,22,7.59E+08
1810,小米集团-W,2020-9-7,24.3,24.15,25,23.65,4.43E+08
1810,小米集团-W,2020-9-8,24.5,22.4,24.7,21.8,3.48E+08
1810,小米集团-W,2020-9-9,21.8,22.1,22.65,20.95,2.53E+08
1810,小米集团-W,2020-9-10,22.5,22.45,23.3,22.3,1.61E+08
1810,小米集团-W,2020-9-11,22.65,23.25,23.35,22.3,1.62E+08
1810,小米集团-W,2020-9-14,23.45,23.55,23.95,22.85,1.30E+08
1810,小米集团-W,2020-9-15,22.5,22.35,22.85,22.1,6.45E+08
1810,小米集团-W,2020-9-16,22.45,22.75,22.85,22.25,1.35E+08
1810,小米集团-W,2020-9-17,22.55,21.3,22.65,21.2,2.32E+08
1810,小米集团-W,2020-9-18,21.45,22.05,22.15,21.4,1.57E+08
1810,小米集团-W,2020-9-21,22.2,20.6,22.3,20.6,1.87E+08
1810,小米集团-W,2020-9-22,20.65,20.45,21.25,20.3,1.29E+08
1810,小米集团-W,2020-9-23,20.65,20.85,21.1,20.45,1.01E+08
1810,小米集团-W,2020-9-24,20.55,19.84,20.55,19.8,1.71E+08
